Player,Player_1,Player_2,Winner,Surface
,Cilic M.,Dimitrov G.,Dimitrov G.,Clay
,Wawrinka S.,Garin C.,Wawrinka S.,Clay
,Federer R.,Otte O.,Federer R.,Clay
,Herbert P.H.,Paire B.,Paire B.,Clay
,Carreno Busta P.,De Minaur A.,Carreno Busta P.,Clay
,Edmund K.,Cuevas P.,Cuevas P.,Clay
,Thiem D.,Bublik A.,Thiem D.,Clay
,Simon G.,Caruso S.,Caruso S.,Clay
,Mayer L.,Schwartzman D.,Mayer L.,Clay
,Zverev A.,Ymer M.,Zverev A.,Clay
,Djokovic N.,Laaksonen H.,Djokovic N.,Clay
,Verdasco F.,Hoang A.,Hoang A.,Clay
,Benchetrit E.,Lajovic D.,Lajovic D.,Clay
,Albot R.,Struff J.L.,Struff J.L.,Clay
,Thompson J.,Karlovic I.,Thompson J.,Clay
,Del Potro J.M.,Nishioka Y.,Del Potro J.M.,Clay
,Mannarino A.,Monfils G.,Monfils G.,Clay
,Coric B.,Harris L.,Coric B.,Clay
,Fritz T.,Bautista Agut R.,Bautista Agut R.,Clay
,Barrere G.,Khachanov K.,Khachanov K.,Clay
,Fognini F.,Delbonis F.,Fognini F.,Clay
,Klizan M.,Pouille L.,Klizan M.,Clay
,Djere L.,Nishikori K.,Nishikori K.,Clay
,Paire B.,Carreno Busta P.,Paire B.,Clay
,Federer R.,Ruud C.,Federer R.,Clay
,Mayer L.,Mahut N.,Mayer L.,Clay
,Londero J.I.,Moutet C.,Londero J.I.,Clay
,Goffin D.,Nadal R.,Nadal R.,Clay
,Bautista Agut R.,Fognini F.,Fognini F.,Clay
,Zverev A.,Lajovic D.,Zverev A.,Clay
,Krajinovic F.,Tsitsipas S.,Tsitsipas S.,Clay
,Coric B.,Struff J.L.,Struff J.L.,Clay
,Dimitrov G.,Wawrinka S.,Wawrinka S.,Clay
,Djokovic N.,Caruso S.,Djokovic N.,Clay
,Thiem D.,Cuevas P.,Thiem D.,Clay
,Hoang A.,Monfils G.,Monfils G.,Clay
,Del Potro J.M.,Thompson J.,Del Potro J.M.,Clay
,Khachanov K.,Klizan M.,Khachanov K.,Clay
,Federer R.,Mayer L.,Federer R.,Clay
,Tsitsipas S.,Wawrinka S.,Wawrinka S.,Clay
,Londero J.I.,Nadal R.,Nadal R.,Clay
,Nishikori K.,Paire B.,Nishikori K.,Clay
,Struff J.L.,Djokovic N.,Djokovic N.,Clay
,Thiem D.,Monfils G.,Thiem D.,Clay
,Fognini F.,Zverev A.,Zverev A.,Clay
,Khachanov K.,Del Potro J.M.,Khachanov K.,Clay
,Federer R.,Wawrinka S.,Federer R.,Clay
,Nishikori K.,Nadal R.,Nadal R.,Clay
,Djokovic N.,Zverev A.,Djokovic N.,Clay
,Thiem D.,Khachanov K.,Thiem D.,Clay
,Federer R.,Nadal R.,Nadal R.,Clay
,Djokovic N.,Thiem D.,Thiem D.,Clay
,Nadal R.,Thiem D.,Nadal R.,Clay
,Rodionov J.,Fritz T.,Fritz T.,Grass
,Caruso S.,Garin C.,Garin C.,Grass
,Paul T.,Thompson J.,Thompson J.,Grass
,Humbert U.,Haase R.,Haase R.,Grass
,Sousa J.,Tiafoe F.,Tiafoe F.,Grass
,Bedene A.,Gasquet R.,Gasquet R.,Grass
,Jarry N.,Sinner J.,Jarry N.,Grass
,Seppi A.,Fabbiano T.,Seppi A.,Grass
,Goffin D.,Davidovich Fokina A.,Goffin D.,Grass
,De Bakker T.,Mannarino A.,Mannarino A.,Grass
,Ebden M.,Herbert P.H.,Herbert P.H.,Grass
,Sonego L.,Kukushkin M.,Kukushkin M.,Grass
,Thompson J.,Tiafoe F.,Thompson J.,Grass
,Fritz T.,Coric B.,Coric B.,Grass
,Seppi A.,De Minaur A.,De Minaur A.,Grass
,Goffin D.,Herbert P.H.,Goffin D.,Grass
,Haase R.,Garin C.,Garin C.,Grass
,Jarry N.,Tsitsipas S.,Jarry N.,Grass
,Verdasco F.,Mannarino A.,Mannarino A.,Grass
,Kukushkin M.,Gasquet R.,Gasquet R.,Grass
,Garin C.,Coric B.,Coric B.,Grass
,Goffin D.,Mannarino A.,Mannarino A.,Grass
,Thompson J.,De Minaur A.,Thompson J.,Grass
,Jarry N.,Gasquet R.,Gasquet R.,Grass
,Thompson J.,Gasquet R.,Thompson J.,Grass
,Mannarino A.,Coric B.,Mannarino A.,Grass
,Mannarino A.,Thompson J.,Mannarino A.,Grass
,Zverev M.,Tsonga J.W.,Tsonga J.W.,Grass
,Kecmanovic M.,Kohlschreiber P.,Kecmanovic M.,Grass
,Munar J.,Fucsovics M.,Fucsovics M.,Grass
,Shapovalov D.,Struff J.L.,Struff J.L.,Grass
,Popyrin A.,Raonic M.,Raonic M.,Grass
,Gulbis E.,Auger-Aliassime F.,Auger-Aliassime F.,Grass
,Brown D.,Millman J.,Brown D.,Grass
,Pouille L.,Lopez F.,Pouille L.,Grass
,Kudla D.,Galovic V.,Kudla D.,Grass
,Kyrgios N.,Berrettini M.,Berrettini M.,Grass
,Simon G.,Gojowczyk P.,Simon G.,Grass
,Johnson S.,Monfils G.,Monfils G.,Grass
,Basilashvili N.,Fucsovics M.,Fucsovics M.,Grass
,Raonic M.,Tsonga J.W.,Raonic M.,Grass
,Struff J.L.,Kecmanovic M.,Struff J.L.,Grass
,Medvedev D.,Pouille L.,Pouille L.,Grass
,Monfils G.,Kudla D.,Kudla D.,Grass
,Berrettini M.,Khachanov K.,Berrettini M.,Grass
,Zverev A.,Brown D.,Brown D.,Grass
,Auger-Aliassime F.,Simon G.,Auger-Aliassime F.,Grass
,Berrettini M.,Kudla D.,Berrettini M.,Grass
,Struff J.L.,Pouille L.,Struff J.L.,Grass
,Auger-Aliassime F.,Brown D.,Auger-Aliassime F.,Grass
,Fucsovics M.,Raonic M.,Raonic M.,Grass
,Berrettini M.,Struff J.L.,Berrettini M.,Grass
,Raonic M.,Auger-Aliassime F.,Auger-Aliassime F.,Grass
,Auger-Aliassime F.,Berrettini M.,Berrettini M.,Grass
,Albot R.,Ebden M.,Albot R.,Grass
,Kohlschreiber P.,Johnson S.,Johnson S.,Grass
,Herbert P.H.,Monfils G.,Herbert P.H.,Grass
,Hurkacz H.,Sousa J.,Sousa J.,Grass
,Khachanov K.,Kecmanovic M.,Khachanov K.,Grass
,Zverev A.,Haase R.,Zverev A.,Grass
,Gojowczyk P.,Gasquet R.,Gasquet R.,Grass
,Pella G.,Goffin D.,Goffin D.,Grass
,Struff J.L.,Djere L.,Struff J.L.,Grass
,Fritz T.,Bautista Agut R.,Bautista Agut R.,Grass
,Munar J.,Coric B.,Coric B.,Grass
,Stakhovsky S.,Molleker R.,Stakhovsky S.,Grass
,Seppi A.,Moraing M.,Seppi A.,Grass
,Paire B.,Tsonga J.W.,Tsonga J.W.,Grass
,Berrettini M.,Basilashvili N.,Berrettini M.,Grass
,Federer R.,Millman J.,Federer R.,Grass
,Albot R.,Goffin D.,Goffin D.,Grass
,Khachanov K.,Struff J.L.,Khachanov K.,Grass
,Herbert P.H.,Stakhovsky S.,Herbert P.H.,Grass
,Sousa J.,Coric B.,Coric B.,Grass
,Berrettini M.,Seppi A.,Berrettini M.,Grass
,Gasquet R.,Bautista Agut R.,Bautista Agut R.,Grass
,Johnson S.,Zverev A.,Zverev A.,Grass
,Federer R.,Tsonga J.W.,Federer R.,Grass
,Khachanov K.,Berrettini M.,Berrettini M.,Grass
,Zverev A.,Goffin D.,Goffin D.,Grass
,Herbert P.H.,Coric B.,Herbert P.H.,Grass
,Bautista Agut R.,Federer R.,Federer R.,Grass
,Berrettini M.,Goffin D.,Goffin D.,Grass
,Federer R.,Herbert P.H.,Federer R.,Grass
,Goffin D.,Federer R.,Federer R.,Grass
,Medvedev D.,Verdasco F.,Medvedev D.,Grass
,Bublik A.,Schwartzman D.,Schwartzman D.,Grass
,Cilic M.,Garin C.,Cilic M.,Grass
,Mahut N.,Tiafoe F.,Mahut N.,Grass
,Norrie C.,Anderson K.,Anderson K.,Grass
,Simon G.,Ward J.,Simon G.,Grass
,Kukushkin M.,Chardy J.,Chardy J.,Grass
,Del Potro J.M.,Shapovalov D.,Del Potro J.M.,Grass
,Fucsovics M.,Lopez F.,Lopez F.,Grass
,De Minaur A.,Bedene A.,Bedene A.,Grass
,Wawrinka S.,Evans D.,Wawrinka S.,Grass
,Clarke J.,Pouille L.,Pouille L.,Grass
,Raonic M.,Cecchinato M.,Raonic M.,Grass
,Tsitsipas S.,Edmund K.,Tsitsipas S.,Grass
,Carballes Baena R.,Kyrgios N.,Kyrgios N.,Grass
,Auger-Aliassime F.,Dimitrov G.,Auger-Aliassime F.,Grass
,Lopez F.,Del Potro J.M.,Lopez F.,Grass
,Schwartzman D.,Cilic M.,Schwartzman D.,Grass
,Simon G.,Anderson K.,Simon G.,Grass
,Mahut N.,Wawrinka S.,Mahut N.,Grass
,Pouille L.,Medvedev D.,Medvedev D.,Grass
,Bedene A.,Raonic M.,Raonic M.,Grass
,Chardy J.,Tsitsipas S.,Tsitsipas S.,Grass
,Auger-Aliassime F.,Kyrgios N.,Auger-Aliassime F.,Grass
,Medvedev D.,Schwartzman D.,Medvedev D.,Grass
,Mahut N.,Simon G.,Simon G.,Grass
,Tsitsipas S.,Auger-Aliassime F.,Auger-Aliassime F.,Grass
,Raonic M.,Lopez F.,Lopez F.,Grass
,Medvedev D.,Simon G.,Simon G.,Grass
,Lopez F.,Auger-Aliassime F.,Lopez F.,Grass
,Simon G.,Lopez F.,Lopez F.,Grass
,Munar J.,Kecmanovic M.,Kecmanovic M.,Grass
,Sousa J.,Sonego L.,Sonego L.,Grass
,Dzumhur D.,Ebden M.,Dzumhur D.,Grass
,Gunneswaran P.,Tipsarevic J.,Gunneswaran P.,Grass
,Klahn B.,Darcis S.,Klahn B.,Grass
,Carballes Baena R.,Aragone JC,Carballes Baena R.,Grass
,Humbert U.,Delbonis F.,Humbert U.,Grass
,Gulbis E.,Celikbilek A.,Celikbilek A.,Grass
,Kovalik J.,Troicki V.,Troicki V.,Grass
,Seppi A.,Tomic B.,Tomic B.,Grass
,Kirkin E.,Gojowczyk P.,Gojowczyk P.,Grass
,Krawietz K.,Ilkel C.,Krawietz K.,Grass
,Thompson J.,Klahn B.,Thompson J.,Grass
,Celikbilek A.,Dzumhur D.,Dzumhur D.,Grass
,Sonego L.,Gunneswaran P.,Sonego L.,Grass
,Mannarino A.,Carballes Baena R.,Mannarino A.,Grass
,Troicki V.,Paire B.,Troicki V.,Grass
,Humbert U.,Kecmanovic M.,Kecmanovic M.,Grass
,Gojowczyk P.,Tomic B.,Tomic B.,Grass
,Carreno Busta P.,Krawietz K.,Carreno Busta P.,Grass
,Troicki V.,Kecmanovic M.,Kecmanovic M.,Grass
,Thompson J.,Dzumhur D.,Thompson J.,Grass
,Mannarino A.,Sonego L.,Sonego L.,Grass
,Tomic B.,Carreno Busta P.,Carreno Busta P.,Grass
,Kecmanovic M.,Thompson J.,Kecmanovic M.,Grass
,Sonego L.,Carreno Busta P.,Sonego L.,Grass
,Kecmanovic M.,Sonego L.,Sonego L.,Grass
,Hurkacz H.,Cecchinato M.,Hurkacz H.,Grass
,Millman J.,Verdasco F.,Verdasco F.,Grass
,Kukushkin M.,Querrey S.,Querrey S.,Grass
,Opelka R.,Johnson S.,Johnson S.,Grass
,Fritz T.,Jubb P.,Fritz T.,Grass
,Londero J.I.,Clarke J.,Londero J.I.,Grass
,Albot R.,Evans D.,Evans D.,Grass
,Cuevas P.,Jarry N.,Jarry N.,Grass
,Chardy J.,Norrie C.,Norrie C.,Grass
,Ward J.,Fabbiano T.,Fabbiano T.,Grass
,Kudla D.,Herbert P.H.,Herbert P.H.,Grass
,Simon G.,Sandgren T.,Simon G.,Grass
,Fritz T.,Pella G.,Fritz T.,Grass
,Johnson S.,Hurkacz H.,Hurkacz H.,Grass
,Londero J.I.,Verdasco F.,Verdasco F.,Grass
,Lajovic D.,Querrey S.,Querrey S.,Grass
,Fabbiano T.,Djere L.,Fabbiano T.,Grass
,Evans D.,Herbert P.H.,Evans D.,Grass
,Jarry N.,Simon G.,Simon G.,Grass
,Norrie C.,Edmund K.,Edmund K.,Grass
,Verdasco F.,Querrey S.,Querrey S.,Grass
,Fabbiano T.,Simon G.,Fabbiano T.,Grass
,Fritz T.,Hurkacz H.,Fritz T.,Grass
,Evans D.,Edmund K.,Edmund K.,Grass
,Fabbiano T.,Querrey S.,Querrey S.,Grass
,Fritz T.,Edmund K.,Fritz T.,Grass
,Querrey S.,Fritz T.,Fritz T.,Grass
,Tipsarevic J.,Nishioka Y.,Tipsarevic J.,Grass
,Herbert P.H.,Anderson K.,Anderson K.,Grass
,Giron M.,Lopez F.,Lopez F.,Grass
,Bautista Agut R.,Gojowczyk P.,Bautista Agut R.,Grass
,Opelka R.,Stebe C.M.,Opelka R.,Grass
,Bemelmans R.,Wawrinka S.,Wawrinka S.,Grass
,Gulbis E.,Mayer L.,Mayer L.,Grass
,Khachanov K.,Kwon S.W.,Khachanov K.,Grass
,Darcis S.,Zverev M.,Darcis S.,Grass
,Jaziri M.,Kudla D.,Kudla D.,Grass
,Seppi A.,Jarry N.,Seppi A.,Grass
,Auger-Aliassime F.,Pospisil V.,Auger-Aliassime F.,Grass
,Kohlschreiber P.,Djokovic N.,Djokovic N.,Grass
,Haase R.,Kovalik J.,Haase R.,Grass
,Tsitsipas S.,Fabbiano T.,Fabbiano T.,Grass
,Copil M.,Pella G.,Pella G.,Grass
,Cuevas P.,Dzumhur D.,Cuevas P.,Grass
,Karlovic I.,Arnaboldi A.,Karlovic I.,Grass
,Popyrin A.,Carreno Busta P.,Popyrin A.,Grass
,Vesely J.,Zverev A.,Vesely J.,Grass
,Hurkacz H.,Lajovic D.,Hurkacz H.,Grass
,Majchrzak K.,Verdasco F.,Verdasco F.,Grass
,Medvedev D.,Lorenzi P.,Medvedev D.,Grass
,Paire B.,Londero J.I.,Paire B.,Grass
,Monfils G.,Humbert U.,Humbert U.,Grass
,Chardy J.,Klizan M.,Chardy J.,Grass
,Gunneswaran P.,Raonic M.,Raonic M.,Grass
,Moutet C.,Dimitrov G.,Moutet C.,Grass
,Edmund K.,Munar J.,Edmund K.,Grass
,Granollers M.,Sonego L.,Granollers M.,Grass
,Goffin D.,Klahn B.,Goffin D.,Grass
,Carballes Baena R.,Kecmanovic M.,Kecmanovic M.,Grass
,Cecchinato M.,De Minaur A.,De Minaur A.,Grass
,Evans D.,Delbonis F.,Evans D.,Grass
,Nishikori K.,Monteiro T.,Nishikori K.,Grass
,Basilashvili N.,Ward J.,Basilashvili N.,Grass
,Johnson S.,Ramos-Vinolas A.,Johnson S.,Grass
,Kyrgios N.,Thompson J.,Kyrgios N.,Grass
,Schnur B.,Baghdatis M.,Baghdatis M.,Grass
,Bedene A.,Berrettini M.,Berrettini M.,Grass
,Querrey S.,Thiem D.,Querrey S.,Grass
,Simon G.,Caruso S.,Simon G.,Grass
,Istomin D.,Norrie C.,Norrie C.,Grass
,Rublev A.,Garin C.,Rublev A.,Grass
,Koepfer D.,Krajinovic F.,Koepfer D.,Grass
,Rubin N.,Clarke J.,Clarke J.,Grass
,Harris L.,Federer R.,Federer R.,Grass
,Uchiyama Y.,Sandgren T.,Sandgren T.,Grass
,Tsonga J.W.,Tomic B.,Tsonga J.W.,Grass
,Albot R.,Struff J.L.,Struff J.L.,Grass
,Berdych T.,Fritz T.,Fritz T.,Grass
,Schwartzman D.,Ebden M.,Schwartzman D.,Grass
,Berankis R.,Shapovalov D.,Berankis R.,Grass
,Nadal R.,Sugita Y.,Nadal R.,Grass
,Millman J.,Dellien H.,Millman J.,Grass
,Tiafoe F.,Fognini F.,Fognini F.,Grass
,Andujar P.,Kukushkin M.,Kukushkin M.,Grass
,Barrere G.,Bublik A.,Barrere G.,Grass
,Djere L.,Andreozzi G.,Djere L.,Grass
,Mannarino A.,Cilic M.,Cilic M.,Grass
,Fucsovics M.,Novak D.,Fucsovics M.,Grass
,Isner J.,Ruud C.,Isner J.,Grass
,Sousa J.,Jubb P.,Sousa J.,Grass
,Pouille L.,Gasquet R.,Pouille L.,Grass
,Vesely J.,Cuevas P.,Vesely J.,Grass
,Paire B.,Kecmanovic M.,Paire B.,Grass
,Wawrinka S.,Opelka R.,Opelka R.,Grass
,Fabbiano T.,Karlovic I.,Fabbiano T.,Grass
,Medvedev D.,Popyrin A.,Medvedev D.,Grass
,Goffin D.,Chardy J.,Goffin D.,Grass
,Hurkacz H.,Mayer L.,Hurkacz H.,Grass
,Raonic M.,Haase R.,Raonic M.,Grass
,Darcis S.,Bautista Agut R.,Bautista Agut R.,Grass
,Edmund K.,Verdasco F.,Verdasco F.,Grass
,Lopez F.,Khachanov K.,Khachanov K.,Grass
,Pella G.,Seppi A.,Pella G.,Grass
,Granollers M.,Humbert U.,Humbert U.,Grass
,Auger-Aliassime F.,Moutet C.,Auger-Aliassime F.,Grass
,Tipsarevic J.,Anderson K.,Anderson K.,Grass
,Djokovic N.,Kudla D.,Djokovic N.,Grass
,Johnson S.,De Minaur A.,Johnson S.,Grass
,Millman J.,Djere L.,Millman J.,Grass
,Rublev A.,Querrey S.,Querrey S.,Grass
,Struff J.L.,Fritz T.,Struff J.L.,Grass
,Basilashvili N.,Evans D.,Evans D.,Grass
,Isner J.,Kukushkin M.,Kukushkin M.,Grass
,Nishikori K.,Norrie C.,Nishikori K.,Grass
,Sousa J.,Cilic M.,Sousa J.,Grass
,Tsonga J.W.,Berankis R.,Tsonga J.W.,Grass
,Clarke J.,Federer R.,Federer R.,Grass
,Barrere G.,Pouille L.,Pouille L.,Grass
,Simon G.,Sandgren T.,Sandgren T.,Grass
,Fognini F.,Fucsovics M.,Fognini F.,Grass
,Kyrgios N.,Nadal R.,Nadal R.,Grass
,Baghdatis M.,Berrettini M.,Berrettini M.,Grass
,Schwartzman D.,Koepfer D.,Schwartzman D.,Grass
,Raonic M.,Opelka R.,Raonic M.,Grass
,Paire B.,Vesely J.,Paire B.,Grass
,Bautista Agut R.,Khachanov K.,Bautista Agut R.,Grass
,Pella G.,Anderson K.,Pella G.,Grass
,Medvedev D.,Goffin D.,Goffin D.,Grass
,Hurkacz H.,Djokovic N.,Djokovic N.,Grass
,Fabbiano T.,Verdasco F.,Verdasco F.,Grass
,Auger-Aliassime F.,Humbert U.,Humbert U.,Grass
,Johnson S.,Nishikori K.,Nishikori K.,Grass
,Millman J.,Querrey S.,Querrey S.,Grass
,Sandgren T.,Fognini F.,Sandgren T.,Grass
,Kukushkin M.,Struff J.L.,Kukushkin M.,Grass
,Schwartzman D.,Berrettini M.,Berrettini M.,Grass
,Tsonga J.W.,Nadal R.,Nadal R.,Grass
,Federer R.,Pouille L.,Federer R.,Grass
,Sousa J.,Evans D.,Sousa J.,Grass
,Goffin D.,Verdasco F.,Goffin D.,Grass
,Nadal R.,Sousa J.,Nadal R.,Grass
,Paire B.,Bautista Agut R.,Bautista Agut R.,Grass
,Sandgren T.,Querrey S.,Querrey S.,Grass
,Humbert U.,Djokovic N.,Djokovic N.,Grass
,Raonic M.,Pella G.,Pella G.,Grass
,Kukushkin M.,Nishikori K.,Nishikori K.,Grass
,Berrettini M.,Federer R.,Federer R.,Grass
,Djokovic N.,Goffin D.,Djokovic N.,Grass
,Bautista Agut R.,Pella G.,Bautista Agut R.,Grass
,Federer R.,Nishikori K.,Federer R.,Grass
,Querrey S.,Nadal R.,Nadal R.,Grass
,Djokovic N.,Bautista Agut R.,Djokovic N.,Grass
,Nadal R.,Federer R.,Federer R.,Grass
,Federer R.,Djokovic N.,Djokovic N.,Grass
,Munar J.,Carballes Baena R.,Carballes Baena R.,Clay
,Davidovich Fokina A.,Ymer M.,Ymer M.,Clay
,Lestienne C.,Ramos-Vinolas A.,Ramos-Vinolas A.,Clay
,Laaksonen H.,Jarry N.,Jarry N.,Clay
,Darcis S.,Novak D.,Novak D.,Clay
,Carreno Busta P.,Chardy J.,Chardy J.,Clay
,Londero J.I.,Arguello F.,Londero J.I.,Clay
,Ruud C.,Dzumhur D.,Dzumhur D.,Clay
,Monteiro T.,Ymer E.,Ymer E.,Clay
,Dellien H.,Gulbis E.,Dellien H.,Clay
,Delbonis F.,Zapata Miralles B.,Delbonis F.,Clay
,Kovalik J.,Sousa J.,Sousa J.,Clay
,Chardy J.,Garin C.,Chardy J.,Clay
,Jarry N.,Ymer M.,Jarry N.,Clay
,Ramos-Vinolas A.,Verdasco F.,Ramos-Vinolas A.,Clay
,Dzumhur D.,Carballes Baena R.,Carballes Baena R.,Clay
,Cuevas P.,Delbonis F.,Delbonis F.,Clay
,Sousa J.,Ymer E.,Sousa J.,Clay
,Novak D.,Gasquet R.,Gasquet R.,Clay
,Londero J.I.,Dellien H.,Londero J.I.,Clay
,Jarry N.,Chardy J.,Jarry N.,Clay
,Sousa J.,Delbonis F.,Delbonis F.,Clay
,Londero J.I.,Gasquet R.,Londero J.I.,Clay
,Ramos-Vinolas A.,Carballes Baena R.,Ramos-Vinolas A.,Clay
,Delbonis F.,Jarry N.,Jarry N.,Clay
,Ramos-Vinolas A.,Londero J.I.,Londero J.I.,Clay
,Londero J.I.,Jarry N.,Jarry N.,Clay
,Ivashka I.,Tomic B.,Ivashka I.,Grass
,Gunneswaran P.,Granollers M.,Granollers M.,Grass
,Andreozzi G.,Karlovic I.,Andreozzi G.,Grass
,Majchrzak K.,Gray A.,Majchrzak K.,Grass
,Istomin D.,Sandgren T.,Sandgren T.,Grass
,Bublik A.,Bolt A.,Bublik A.,Grass
,Schnur B.,Ebden M.,Ebden M.,Grass
,Kudla D.,Klahn B.,Kudla D.,Grass
,Stakhovsky S.,Ramanathan R.,Ramanathan R.,Grass
,Jung J.,Troicki V.,Troicki V.,Grass
,Eubanks C.,Johnson S.,Eubanks C.,Grass
,Zverev M.,Smyczek T.,Zverev M.,Grass
,Bublik A.,Troicki V.,Bublik A.,Grass
,Kudla D.,Ebden M.,Ebden M.,Grass
,Thompson J.,Granollers M.,Granollers M.,Grass
,Eubanks C.,Ivashka I.,Ivashka I.,Grass
,Sandgren T.,Mannarino A.,Sandgren T.,Grass
,Zverev M.,Andreozzi G.,Zverev M.,Grass
,Majchrzak K.,Isner J.,Isner J.,Grass
,Humbert U.,Ramanathan R.,Humbert U.,Grass
,Granollers M.,Zverev M.,Granollers M.,Grass
,Humbert U.,Ivashka I.,Humbert U.,Grass
,Bublik A.,Sandgren T.,Bublik A.,Grass
,Ebden M.,Isner J.,Isner J.,Grass
,Bublik A.,Granollers M.,Bublik A.,Grass
,Isner J.,Humbert U.,Isner J.,Grass
,Isner J.,Bublik A.,Isner J.,Grass
,Vesely J.,Stebe C.M.,Vesely J.,Clay
,Bedene A.,Cecchinato M.,Bedene A.,Clay
,Sousa P.,Sinner J.,Sinner J.,Clay
,Klizan M.,Bagnis F.,Bagnis F.,Clay
,Lorenzi P.,Torebko P.,Lorenzi P.,Clay
,Travaglia S.,Fabbiano T.,Travaglia S.,Clay
,Serdarusic N.,Trungelliti M.,Serdarusic N.,Clay
,Balazs A.,Galovic V.,Balazs A.,Clay
,Haase R.,Rublev A.,Rublev A.,Clay
,Andujar P.,Mayer L.,Mayer L.,Clay
,Daniel T.,Krajinovic F.,Krajinovic F.,Clay
,Caruso S.,Moutet C.,Caruso S.,Clay
,Balazs A.,Krajinovic F.,Balazs A.,Clay
,Vesely J.,Mayer L.,Mayer L.,Clay
,Fognini F.,Travaglia S.,Travaglia S.,Clay
,Djere L.,Lorenzi P.,Djere L.,Clay
,Serdarusic N.,Bagnis F.,Bagnis F.,Clay
,Lajovic D.,Rublev A.,Lajovic D.,Clay
,Caruso S.,Coric B.,Caruso S.,Clay
,Bedene A.,Sinner J.,Bedene A.,Clay
,Djere L.,Mayer L.,Djere L.,Clay
,Balazs A.,Travaglia S.,Balazs A.,Clay
,Bedene A.,Lajovic D.,Lajovic D.,Clay
,Bagnis F.,Caruso S.,Caruso S.,Clay
,Balazs A.,Djere L.,Balazs A.,Clay
,Caruso S.,Lajovic D.,Lajovic D.,Clay
,Balazs A.,Lajovic D.,Lajovic D.,Clay
,Kudla D.,Popyrin A.,Popyrin A.,Hard
,Thompson J.,Norrie C.,Norrie C.,Hard
,Copil M.,Klahn B.,Klahn B.,Hard
,Ebden M.,Majchrzak K.,Ebden M.,Hard
,Gunneswaran P.,Kwon S.W.,Kwon S.W.,Hard
,Bublik A.,Opelka R.,Opelka R.,Hard
,Jung J.,Evans D.,Evans D.,Hard
,Tiafoe F.,Tomic B.,Tomic B.,Hard
,Albot R.,Sandgren T.,Albot R.,Hard
,Humbert U.,Gromley C.,Humbert U.,Hard
,Kecmanovic M.,Sock J.,Kecmanovic M.,Hard
,Dimitrov G.,King K.,King K.,Hard
,Herbert P.H.,Popyrin A.,Popyrin A.,Hard
,Norrie C.,Kwon S.W.,Norrie C.,Hard
,Albot R.,Evans D.,Evans D.,Hard
,Opelka R.,Isner J.,Opelka R.,Hard
,Tomic B.,Ebden M.,Tomic B.,Hard
,Klahn B.,De Minaur A.,De Minaur A.,Hard
,Fritz T.,King K.,Fritz T.,Hard
,Humbert U.,Kecmanovic M.,Kecmanovic M.,Hard
,Tomic B.,De Minaur A.,De Minaur A.,Hard
,Evans D.,Opelka R.,Opelka R.,Hard
,Norrie C.,Popyrin A.,Norrie C.,Hard
,Fritz T.,Kecmanovic M.,Fritz T.,Hard
,De Minaur A.,Opelka R.,De Minaur A.,Hard
,Fritz T.,Norrie C.,Fritz T.,Hard
,Fritz T.,De Minaur A.,De Minaur A.,Hard
,Stebe C.M.,Moutet C.,Stebe C.M.,Clay
,Vesely J.,Gulbis E.,Vesely J.,Clay
,Carballes Baena R.,Lorenzi P.,Carballes Baena R.,Clay
,Novak D.,Andujar P.,Andujar P.,Clay
,Ehrat S.,Fabbiano T.,Fabbiano T.,Clay
,Galan D.E.,Travaglia S.,Travaglia S.,Clay
,Munar J.,Jaziri M.,Munar J.,Clay
,Moroni G.,Robredo T.,Moroni G.,Clay
,Sousa J.,Darcis S.,Sousa J.,Clay
,Daniel T.,Baldi F.,Daniel T.,Clay
,Ramos-Vinolas A.,Laaksonen H.,Ramos-Vinolas A.,Clay
,Huesler M.A.,Istomin D.,Istomin D.,Clay
,Carballes Baena R.,Travaglia S.,Carballes Baena R.,Clay
,Vesely J.,Stebe C.M.,Stebe C.M.,Clay
,Sonego L.,Fabbiano T.,Fabbiano T.,Clay
,Ramos-Vinolas A.,Verdasco F.,Ramos-Vinolas A.,Clay
,Daniel T.,Andujar P.,Andujar P.,Clay
,Istomin D.,Lajovic D.,Lajovic D.,Clay
,Sousa J.,Moroni G.,Sousa J.,Clay
,Bautista Agut R.,Munar J.,Bautista Agut R.,Clay
,Carballes Baena R.,Ramos-Vinolas A.,Ramos-Vinolas A.,Clay
,Andujar P.,Lajovic D.,Andujar P.,Clay
,Sousa J.,Bautista Agut R.,Sousa J.,Clay
,Fabbiano T.,Stebe C.M.,Stebe C.M.,Clay
,Ramos-Vinolas A.,Andujar P.,Ramos-Vinolas A.,Clay
,Stebe C.M.,Sousa J.,Stebe C.M.,Clay
,Ramos-Vinolas A.,Stebe C.M.,Ramos-Vinolas A.,Clay
,Altmaier D.,Klizan M.,Klizan M.,Clay
,Kohlschreiber P.,Fucsovics M.,Fucsovics M.,Clay
,Paire B.,Chardy J.,Chardy J.,Clay
,Rublev A.,Garin C.,Rublev A.,Clay
,Molleker R.,Mayer L.,Molleker R.,Clay
,Dellien H.,Basilashvili N.,Basilashvili N.,Clay
,Struff J.L.,Monteiro T.,Struff J.L.,Clay
,Haase R.,Ruud C.,Ruud C.,Clay
,Gasquet R.,Nagal S.,Gasquet R.,Clay
,Thiem D.,Cuevas P.,Thiem D.,Clay
