Player_1,Player_2,Winner,Surface
Berdych T.,Ferrer D.,Ferrer D.,Clay
Rochus C.,Mantilla F.,Mantilla F.,Clay
Kratochvil M.,Schuettler R.,Schuettler R.,Clay
Portas A.,Mayer F.,Mayer F.,Clay
Rosset M.,Pavel A.,Rosset M.,Clay
Karlovic I.,Hernandez O.,Karlovic I.,Clay
Behrend T.,Federer R.,Federer R.,Clay
Montanes A.,Novak J.,Novak J.,Clay
Starace P.,Hanescu V.,Starace P.,Clay
Ramirez-Hidalgo R.,Koubek S.,Ramirez-Hidalgo R.,Clay
Costa A.,Andreev I.,Andreev I.,Clay
Ferrer D.,Mantilla F.,Mantilla F.,Clay
Schuettler R.,Mayer F.,Schuettler R.,Clay
Karlovic I.,Federer R.,Federer R.,Clay
Rosset M.,Stepanek R.,Stepanek R.,Clay
Ramirez-Hidalgo R.,Andreev I.,Andreev I.,Clay
Novak J.,Starace P.,Starace P.,Clay
Federer R.,Stepanek R.,Federer R.,Clay
Schuettler R.,Mantilla F.,Schuettler R.,Clay
Starace P.,Federer R.,Federer R.,Clay
Schuettler R.,Andreev I.,Andreev I.,Clay
Federer R.,Andreev I.,Federer R.,Clay
Hernych J.,Melzer J.,Melzer J.,Grass
Bogomolov A.,Levy H.,Bogomolov A.,Grass
Mahut N.,Golmard J.,Mahut N.,Grass
Norman D.,Blake J.,Blake J.,Grass
Delic A.,Popp A.,Popp A.,Grass
Dupuis A.,Vacek J.,Dupuis A.,Grass
Spadea V.,Salzenstein J.,Spadea V.,Grass
Saulnier C.,Gimelstob J.,Saulnier C.,Grass
Gambill J.M.,Morrison J.,Morrison J.,Grass
Rusedski G.,Carraz G.,Rusedski G.,Grass
Carlsen K.,Reid T.,Carlsen K.,Grass
Kendrick R.,Sanguinetti D.,Sanguinetti D.,Grass
Weiner G.,Peya A.,Weiner G.,Grass
Ram R.,Elseneer G.,Elseneer G.,Grass
Mertinak M.,Vahaly B.,Vahaly B.,Grass
Baker B.,Moodie W.,Baker B.,Grass
Vahaly B.,Spadea V.,Spadea V.,Grass
Mahut N.,Melzer J.,Melzer J.,Grass
Elseneer G.,Saulnier C.,Saulnier C.,Grass
Bogomolov A.,Blake J.,Bogomolov A.,Grass
Popp A.,Weiner G.,Popp A.,Grass
Sanguinetti D.,Dupuis A.,Dupuis A.,Grass
Rusedski G.,Carlsen K.,Rusedski G.,Grass
Morrison J.,Baker B.,Morrison J.,Grass
Saulnier C.,Melzer J.,Saulnier C.,Grass
Spadea V.,Popp A.,Popp A.,Grass
Morrison J.,Rusedski G.,Rusedski G.,Grass
Dupuis A.,Bogomolov A.,Dupuis A.,Grass
Popp A.,Saulnier C.,Popp A.,Grass
Rusedski G.,Dupuis A.,Rusedski G.,Grass
Rusedski G.,Popp A.,Rusedski G.,Grass
van der Meer N.,Martin A.,Martin A.,Clay
Behrend T.,Montanes A.,Behrend T.,Clay
Hernandez O.,Mutis O.,Hernandez O.,Clay
Rochus C.,Saretta F.,Rochus C.,Clay
Portas A.,Rochus O.,Portas A.,Clay
van Gemerden M.,Verkerk M.,Verkerk M.,Clay
Falla A.,Horna L.,Falla A.,Clay
Przysiezny M.,Sanchez D.,Sanchez D.,Clay
Vanek J.,van Scheppingen D.,van Scheppingen D.,Clay
Vliegen K.,Massu N.,Massu N.,Clay
Rosset M.,Garcia A.,Garcia A.,Clay
Wessels P.,Lisnard J.R.,Lisnard J.R.,Clay
Andreev I.,Ramirez-Hidalgo R.,Andreev I.,Clay
Sluiter R.,Thomann N.,Sluiter R.,Clay
Luczak P.,van Lottum J.,Luczak P.,Clay
Gonzalez F.,Acasuso J.,Gonzalez F.,Clay
Rochus C.,Andreev I.,Andreev I.,Clay
Gonzalez F.,Hernandez O.,Gonzalez F.,Clay
Massu N.,Sluiter R.,Massu N.,Clay
Portas A.,Behrend T.,Behrend T.,Clay
Falla A.,van Scheppingen D.,van Scheppingen D.,Clay
Lisnard J.R.,Sanchez D.,Sanchez D.,Clay
Verkerk M.,Garcia A.,Verkerk M.,Clay
Martin A.,Luczak P.,Martin A.,Clay
Massu N.,Behrend T.,Massu N.,Clay
Verkerk M.,Sanchez D.,Verkerk M.,Clay
Andreev I.,Gonzalez F.,Gonzalez F.,Clay
van Scheppingen D.,Martin A.,van Scheppingen D.,Clay
Massu N.,Verkerk M.,Verkerk M.,Clay
Gonzalez F.,van Scheppingen D.,Gonzalez F.,Clay
Verkerk M.,Gonzalez F.,Verkerk M.,Clay
Carlsen K.,Arthurs W.,Carlsen K.,Hard
Ram A.,Beck K.,Beck K.,Hard
Morrison J.,Cook L.,Morrison J.,Hard
Lee H.T.,Weiner G.,Weiner G.,Hard
Elseneer G.,Vahaly B.,Elseneer G.,Hard
Hrbaty D.,Kiefer N.,Kiefer N.,Hard
Rusedski G.,Dent T.,Rusedski G.,Hard
Hernych J.,Dupuis A.,Hernych J.,Hard
Saulnier C.,Spadea V.,Saulnier C.,Hard
Srichaphan P.,Ferreira W.,Srichaphan P.,Hard
Vacek J.,Fish M.,Fish M.,Hard
Benneteau J.,Philippoussis M.,Benneteau J.,Hard
Schalken S.,Carraz G.,Schalken S.,Hard
Moodie W.,Fleishman Z.,Moodie W.,Hard
Agassi A.,Bogomolov A.,Agassi A.,Hard
Haas T.,Ginepri R.,Haas T.,Hard
Saulnier C.,Hernych J.,Saulnier C.,Hard
Kiefer N.,Weiner G.,Kiefer N.,Hard
Beck K.,Rusedski G.,Rusedski G.,Hard
Fish M.,Elseneer G.,Fish M.,Hard
Moodie W.,Schalken S.,Moodie W.,Hard
Srichaphan P.,Morrison J.,Morrison J.,Hard
Haas T.,Carlsen K.,Haas T.,Hard
Agassi A.,Benneteau J.,Agassi A.,Hard
Fish M.,Saulnier C.,Saulnier C.,Hard
Moodie W.,Morrison J.,Morrison J.,Hard
Kiefer N.,Rusedski G.,Kiefer N.,Hard
Agassi A.,Haas T.,Haas T.,Hard
Saulnier C.,Haas T.,Haas T.,Hard
Kiefer N.,Morrison J.,Kiefer N.,Hard
Haas T.,Kiefer N.,Haas T.,Hard
Kohlschreiber P.,Vassallo-Arguello M.,Vassallo-Arguello M.,Clay
Patience O.,Koubek S.,Koubek S.,Clay
di Pasquale A.,Blanco G.,di Pasquale A.,Clay
Ulihrach B.,Hanescu V.,Ulihrach B.,Clay
Norman D.,Canas G.,Canas G.,Clay
Stepanek R.,Guzman J.P.,Stepanek R.,Clay
Gasquet R.,Boutter J.,Gasquet R.,Clay
Elsner D.,Lopez M.,Lopez M.,Clay
Zib T.,Ascione T.,Ascione T.,Clay
Heuberger I.,Phau B.,Phau B.,Clay
Beck A.,Peya A.,Beck A.,Clay
Almagro N.,Squillari F.,Squillari F.,Clay
Haehnel J.,Mantilla F.,Mantilla F.,Clay
Burgsmuller L.,Andersen J.F.,Andersen J.F.,Clay
Armando H.,Rieschick S.,Armando H.,Clay
Popp A.,Waske A.,Popp A.,Clay
Ferrer D.,di Pasquale A.,Ferrer D.,Clay
Pavel A.,Ulihrach B.,Pavel A.,Clay
Koubek S.,Lopez F.,Koubek S.,Clay
Canas G.,Mayer F.,Canas G.,Clay
Beck A.,Davydenko N.,Davydenko N.,Clay
Robredo T.,Gasquet R.,Gasquet R.,Clay
Chela J.I.,Andersen J.F.,Chela J.I.,Clay
Nadal R.,Vassallo-Arguello M.,Nadal R.,Clay
Novak J.,Ascione T.,Novak J.,Clay
Costa A.,Mantilla F.,Costa A.,Clay
Youzhny M.,Popp A.,Youzhny M.,Clay
Lopez M.,Zabaleta M.,Zabaleta M.,Clay
Karlovic I.,Squillari F.,Karlovic I.,Clay
Phau B.,Berdych T.,Berdych T.,Clay
Schuettler R.,Stepanek R.,Stepanek R.,Clay
Gaudio G.,Armando H.,Gaudio G.,Clay
Zabaleta M.,Costa A.,Costa A.,Clay
Youzhny M.,Novak J.,Novak J.,Clay
Davydenko N.,Pavel A.,Davydenko N.,Clay
Stepanek R.,Karlovic I.,Stepanek R.,Clay
Gasquet R.,Ferrer D.,Ferrer D.,Clay
Koubek S.,Canas G.,Canas G.,Clay
Gaudio G.,Berdych T.,Gaudio G.,Clay
Chela J.I.,Nadal R.,Nadal R.,Clay
Davydenko N.,Costa A.,Davydenko N.,Clay
Ferrer D.,Nadal R.,Ferrer D.,Clay
Canas G.,Stepanek R.,Canas G.,Clay
Gaudio G.,Novak J.,Gaudio G.,Clay
Davydenko N.,Canas G.,Canas G.,Clay
Gaudio G.,Ferrer D.,Gaudio G.,Clay
Gaudio G.,Canas G.,Canas G.,Clay
Ascione T.,Salzenstein J.,Ascione T.,Hard
Ram R.,Moodie W.,Ram R.,Hard
Rusedski G.,Johansson T.,Rusedski G.,Hard
Beck K.,Delic A.,Beck K.,Hard
Karlovic I.,Vahaly B.,Karlovic I.,Hard
Kratochvil M.,Vacek J.,Kratochvil M.,Hard
Jeanpierre J.,Elseneer G.,Jeanpierre J.,Hard
Gambill J.M.,Hernych J.,Hernych J.,Hard
de Voest R.,Arthurs W.,de Voest R.,Hard
Dupuis A.,de Chaunac S.,de Chaunac S.,Hard
Llodra M.,Reid T.,Reid T.,Hard
Lu Y.,Okun N.,Okun N.,Hard
Santoro F.,Lee H.T.,Santoro F.,Hard
Morrison J.,Benneteau J.,Morrison J.,Hard
Sargsian S.,Carraz G.,Carraz G.,Hard
Carlsen K.,Bogomolov A.,Bogomolov A.,Hard
Srichaphan P.,Ascione T.,Srichaphan P.,Hard
Ram R.,Ljubicic I.,Ljubicic I.,Hard
Dent T.,Reid T.,Reid T.,Hard
Okun N.,Enqvist T.,Okun N.,Hard
Schalken S.,Hernych J.,Hernych J.,Hard
Beck K.,Mirnyi M.,Beck K.,Hard
Fish M.,Carraz G.,Carraz G.,Hard
de Chaunac S.,Ginepri R.,Ginepri R.,Hard
Soderling R.,Bogomolov A.,Bogomolov A.,Hard
de Voest R.,Chiudinelli M.,de Voest R.,Hard
Karlovic I.,Kiefer N.,Kiefer N.,Hard
Grosjean S.,Jeanpierre J.,Grosjean S.,Hard
Santoro F.,Hrbaty D.,Hrbaty D.,Hard
Morrison J.,Malisse X.,Malisse X.,Hard
Rusedski G.,Johansson J.,Johansson J.,Hard
Kratochvil M.,Roddick A.,Roddick A.,Hard
de Voest R.,Kiefer N.,Kiefer N.,Hard
Ljubicic I.,Hernych J.,Ljubicic I.,Hard
Reid T.,Carraz G.,Carraz G.,Hard
Okun N.,Beck K.,Okun N.,Hard
Bogomolov A.,Srichaphan P.,Srichaphan P.,Hard
Johansson J.,Hrbaty D.,Hrbaty D.,Hard
Grosjean S.,Malisse X.,Grosjean S.,Hard
Roddick A.,Ginepri R.,Roddick A.,Hard
Carraz G.,Okun N.,Carraz G.,Hard
Grosjean S.,Ljubicic I.,Ljubicic I.,Hard
Hrbaty D.,Roddick A.,Roddick A.,Hard
Kiefer N.,Srichaphan P.,Kiefer N.,Hard
Roddick A.,Ljubicic I.,Roddick A.,Hard
Kiefer N.,Carraz G.,Kiefer N.,Hard
Kiefer N.,Roddick A.,Roddick A.,Hard
Mathieu P.H.,Squillari F.,Squillari F.,Clay
Garcia A.,Falla A.,Falla A.,Clay
Ager J.,Schukin Y.,Schukin Y.,Clay
Heuberger I.,Cermak F.,Cermak F.,Clay
Pescosolido S.,Ventura S.,Ventura S.,Clay
Schiessling T.,Eschauer W.,Eschauer W.,Clay
Vassallo-Arguello M.,Thomann N.,Vassallo-Arguello M.,Clay
Peya A.,Luczak P.,Luczak P.,Clay
Guzman J.P.,Monaco J.,Monaco J.,Clay
Blanco G.,Minar I.,Minar I.,Clay
Norman D.,di Mauro A.,Norman D.,Clay
Hernandez O.,Portas A.,Hernandez O.,Clay
Lopez M.,Starace P.,Starace P.,Clay
Gimeno D.,Stepanek R.,Stepanek R.,Clay
Seppi A.,Tabara M.,Seppi A.,Clay
Horna L.,Falla A.,Horna L.,Clay
Rosset M.,Koubek S.,Koubek S.,Clay
Eschauer W.,Costa A.,Costa A.,Clay
Monaco J.,Ferrer D.,Monaco J.,Clay
Mayer F.,Luczak P.,Mayer F.,Clay
Gaudio G.,Minar I.,Gaudio G.,Clay
Norman D.,Davydenko N.,Davydenko N.,Clay
Stepanek R.,Labadze I.,Stepanek R.,Clay
Verdasco F.,Squillari F.,Verdasco F.,Clay
Melzer J.,Vassallo-Arguello M.,Vassallo-Arguello M.,Clay
Hernandez O.,Zabaleta M.,Zabaleta M.,Clay
Lopez F.,Koubek S.,Lopez F.,Clay
Starace P.,Berdych T.,Berdych T.,Clay
Montanes A.,Ventura S.,Ventura S.,Clay
Schukin Y.,Massu N.,Massu N.,Clay
Cermak F.,Sanchez D.,Sanchez D.,Clay
Schuettler R.,Seppi A.,Schuettler R.,Clay
Costa A.,Horna L.,Horna L.,Clay
Mayer F.,Monaco J.,Mayer F.,Clay
Davydenko N.,Gaudio G.,Gaudio G.,Clay
Verdasco F.,Vassallo-Arguello M.,Verdasco F.,Clay
Sanchez D.,Schuettler R.,Schuettler R.,Clay
Massu N.,Berdych T.,Massu N.,Clay
Ventura S.,Lopez F.,Lopez F.,Clay
Stepanek R.,Zabaleta M.,Zabaleta M.,Clay
Gaudio G.,Horna L.,Gaudio G.,Clay
Lopez F.,Verdasco F.,Verdasco F.,Clay
Schuettler R.,Mayer F.,Schuettler R.,Clay
Massu N.,Zabaleta M.,Massu N.,Clay
Verdasco F.,Gaudio G.,Gaudio G.,Clay
Massu N.,Schuettler R.,Massu N.,Clay
Massu N.,Gaudio G.,Massu N.,Clay
Mutis O.,Vliegen K.,Vliegen K.,Clay
Serra F.,Ulihrach B.,Serra F.,Clay
Behrend T.,Almagro N.,Almagro N.,Clay
Krajan Z.,Vanek J.,Krajan Z.,Clay
Hanescu V.,Garcia-Lopez G.,Garcia-Lopez G.,Clay
Tuksar S.,Vicente F.,Vicente F.,Clay
Kucera K.,Rochus O.,Rochus O.,Clay
Novak J.,Ramirez-Hidalgo R.,Novak J.,Clay
Saretta F.,Wawrinka S.,Saretta F.,Clay
Acasuso J.,Rochus C.,Rochus C.,Clay
Martin A.,Golmard J.,Martin A.,Clay
di Pasquale A.,Calatrava A.,Calatrava A.,Clay
Volandri F.,Djokovic N.,Volandri F.,Clay
Moya C.,Karanusic R.,Moya C.,Clay
Andreev I.,Zib T.,Zib T.,Clay
Canas G.,Patience O.,Canas G.,Clay
Garcia-Lopez G.,Saretta F.,Garcia-Lopez G.,Clay
Rochus O.,Vliegen K.,Vliegen K.,Clay
Rochus C.,Novak J.,Novak J.,Clay
Serra F.,Volandri F.,Volandri F.,Clay
Calatrava A.,Zib T.,Calatrava A.,Clay
Martin A.,Almagro N.,Martin A.,Clay
Canas G.,Vicente F.,Canas G.,Clay
Moya C.,Krajan Z.,Moya C.,Clay
Calatrava A.,Canas G.,Canas G.,Clay
Moya C.,Martin A.,Moya C.,Clay
Garcia-Lopez G.,Novak J.,Garcia-Lopez G.,Clay
Volandri F.,Vliegen K.,Volandri F.,Clay
Volandri F.,Moya C.,Volandri F.,Clay
Canas G.,Garcia-Lopez G.,Canas G.,Clay
Canas G.,Volandri F.,Canas G.,Clay
Larose S.,Ferrer D.,Ferrer D.,Hard
Chela J.I.,Malisse X.,Chela J.I.,Hard
Kratochvil M.,Mirnyi M.,Mirnyi M.,Hard
Johansson J.,Llodra M.,Johansson J.,Hard
Sargsian S.,Andreev I.,Andreev I.,Hard
Ferrero J.C.,Santoro F.,Santoro F.,Hard
Saulnier C.,Nestor D.,Saulnier C.,Hard
Hernych J.,Labadze I.,Hernych J.,Hard
Bogomolov A.,Karlovic I.,Bogomolov A.,Hard
Enqvist T.,Soderling R.,Soderling R.,Hard
Pavel A.,Srichaphan P.,Srichaphan P.,Hard
Haas T.,Agassi A.,Agassi A.,Hard
Robredo T.,Lee H.T.,Robredo T.,Hard
Kuerten G.,Ginepri R.,Kuerten G.,Hard
Dancevic F.,Spadea V.,Spadea V.,Hard
Novak J.,Bjorkman J.,Novak J.,Hard
Schuettler R.,Gonzalez F.,Gonzalez F.,Hard
Melzer J.,Hrbaty D.,Melzer J.,Hard
Beck K.,Ljubicic I.,Ljubicic I.,Hard
Johansson T.,Massu N.,Johansson T.,Hard
Verdasco F.,Moya C.,Moya C.,Hard
Arazi H.,Federer R.,Federer R.,Hard
Grosjean S.,Carraz G.,Carraz G.,Hard
Lopez F.,Escude N.,Lopez F.,Hard
Safin M.,Kiefer N.,Kiefer N.,Hard
Gaudio G.,Reid T.,Reid T.,Hard
Niemeyer F.,Sanchez D.,Niemeyer F.,Hard
Nalbandian D.,Youzhny M.,Youzhny M.,Hard
Zabaleta M.,Henman T.,Henman T.,Hard
Nadal R.,Hewitt L.,Hewitt L.,Hard
Benneteau J.,Roddick A.,Roddick A.,Hard
Horna L.,Coria G.,Horna L.,Hard
Federer R.,Soderling R.,Federer R.,Hard
Mirnyi M.,Srichaphan P.,Mirnyi M.,Hard
Bogomolov A.,Moya C.,Moya C.,Hard
Ferrer D.,Kiefer N.,Kiefer N.,Hard
Hernych J.,Reid T.,Hernych J.,Hard
Agassi A.,Melzer J.,Melzer J.,Hard
Gonzalez F.,Spadea V.,Gonzalez F.,Hard
Ljubicic I.,Santoro F.,Santoro F.,Hard
Novak J.,Hewitt L.,Hewitt L.,Hard
Kuerten G.,Henman T.,Kuerten G.,Hard
Robredo T.,Chela J.I.,Chela J.I.,Hard
Roddick A.,Lopez F.,Roddick A.,Hard
Andreev I.,Johansson T.,Johansson T.,Hard
Saulnier C.,Youzhny M.,Saulnier C.,Hard
Niemeyer F.,Horna L.,Horna L.,Hard
Johansson J.,Carraz G.,Johansson J.,Hard
Federer R.,Mirnyi M.,Federer R.,Hard
Moya C.,Kiefer N.,Kiefer N.,Hard
Melzer J.,Gonzalez F.,Melzer J.,Hard
Hernych J.,Kuerten G.,Hernych J.,Hard
Hewitt L.,Santoro F.,Santoro F.,Hard
Horna L.,Johansson T.,Johansson T.,Hard
Johansson J.,Saulnier C.,Johansson J.,Hard
Roddick A.,Chela J.I.,Roddick A.,Hard
Federer R.,Santoro F.,Federer R.,Hard
Johansson T.,Johansson J.,Johansson T.,Hard
Roddick A.,Hernych J.,Roddick A.,Hard
Kiefer N.,Melzer J.,Kiefer N.,Hard
Johansson T.,Federer R.,Federer R.,Hard
Roddick A.,Kiefer N.,Roddick A.,Hard
Roddick A.,Federer R.,Federer R.,Hard
Chela J.I.,Nadal R.,Chela J.I.,Hard
Arthurs W.,Pavel A.,Arthurs W.,Hard
Norman D.,Schalken S.,Schalken S.,Hard
Gaudio G.,Gambill J.M.,Gaudio G.,Hard
Haas T.,Schuettler R.,Haas T.,Hard
Moodie W.,Karlovic I.,Karlovic I.,Hard
Sargsian S.,Kratochvil M.,Sargsian S.,Hard
Parmar A.,Moya C.,Moya C.,Hard
Agassi A.,Fish M.,Agassi A.,Hard
Malisse X.,Ljubicic I.,Ljubicic I.,Hard
Enqvist T.,Rusedski G.,Rusedski G.,Hard
Safin M.,Novak J.,Safin M.,Hard
Tursunov D.,Gonzalez F.,Gonzalez F.,Hard
Bogomolov A.,Hewitt L.,Hewitt L.,Hard
Lu Y.H.,Kuerten G.,Kuerten G.,Hard
Srichaphan P.,Ferrer D.,Srichaphan P.,Hard
Robredo T.,Dent T.,Robredo T.,Hard
El Aynaoui Y.,Henman T.,Henman T.,Hard
Morrison J.,Melzer J.,Morrison J.,Hard
Lopez F.,Reid T.,Lopez F.,Hard
Arazi H.,Spadea V.,Arazi H.,Hard
Youzhny M.,Massu N.,Youzhny M.,Hard
Johansson T.,Carraz G.,Johansson T.,Hard
Federer R.,Hrbaty D.,Hrbaty D.,Hard
Llodra M.,Zabaleta M.,Zabaleta M.,Hard
Johansson J.,Kiefer N.,Kiefer N.,Hard
Clement A.,Ferrero J.C.,Ferrero J.C.,Hard
Bjorkman J.,Labadze I.,Bjorkman J.,Hard
Horna L.,Verdasco F.,Horna L.,Hard
Ginepri R.,Santoro F.,Santoro F.,Hard
Grosjean S.,Soderling R.,Soderling R.,Hard
Mirnyi M.,Roddick A.,Roddick A.,Hard
Gaudio G.,Rusedski G.,Rusedski G.,Hard
Moya C.,Ljubicic I.,Moya C.,Hard
Hrbaty D.,Bjorkman J.,Bjorkman J.,Hard
Arthurs W.,Zabaleta M.,Arthurs W.,Hard
Youzhny M.,Santoro F.,Santoro F.,Hard
Horna L.,Soderling R.,Soderling R.,Hard
Hewitt L.,Kuerten G.,Hewitt L.,Hard
Haas T.,Sargsian S.,Haas T.,Hard
Robredo T.,Ferrero J.C.,Robredo T.,Hard
Karlovic I.,Lopez F.,Karlovic I.,Hard
Kiefer N.,Roddick A.,Roddick A.,Hard
Safin M.,Morrison J.,Safin M.,Hard
Henman T.,Arazi H.,Henman T.,Hard
Chela J.I.,Gonzalez F.,Chela J.I.,Hard
Agassi A.,Johansson T.,Agassi A.,Hard
Srichaphan P.,Schalken S.,Srichaphan P.,Hard
Bjorkman J.,Santoro F.,Santoro F.,Hard
Safin M.,Karlovic I.,Safin M.,Hard
Arthurs W.,Moya C.,Moya C.,Hard
Roddick A.,Srichaphan P.,Roddick A.,Hard
Rusedski G.,Robredo T.,Robredo T.,Hard
Hewitt L.,Henman T.,Hewitt L.,Hard
Agassi A.,Chela J.I.,Agassi A.,Hard
Haas T.,Soderling R.,Haas T.,Hard
Safin M.,Hewitt L.,Hewitt L.,Hard
Santoro F.,Robredo T.,Robredo T.,Hard
Moya C.,Agassi A.,Agassi A.,Hard
Roddick A.,Haas T.,Roddick A.,Hard
Hewitt L.,Robredo T.,Hewitt L.,Hard
Agassi A.,Roddick A.,Agassi A.,Hard
Hewitt L.,Agassi A.,Agassi A.,Hard
Garcia A.,Davydenko N.,Garcia A.,Clay
Martin A.,Monaco J.,Monaco J.,Clay
Rosset M.,Urban F.,Rosset M.,Clay
Vanek J.,Ulihrach B.,Vanek J.,Clay
Koubek S.,Mathieu P.H.,Koubek S.,Clay
Kubot L.,Andreev I.,Kubot L.,Clay
Ramirez-Hidalgo R.,Mutis O.,Mutis O.,Clay
Nadal R.,Hanescu V.,Nadal R.,Clay
Squillari F.,Zib T.,Squillari F.,Clay
Ferrer D.,Garcia-Lopez G.,Ferrer D.,Clay
di Pasquale A.,Calatrava A.,di Pasquale A.,Clay
Portas A.,Vassallo-Arguello M.,Portas A.,Clay
Montanes A.,Mantilla F.,Mantilla F.,Clay
Safin M.,Blanco G.,Safin M.,Clay
Lopez M.,Hernandez O.,Lopez M.,Clay
Przysiezny M.,Acasuso J.,Acasuso J.,Clay
Nadal R.,di Pasquale A.,Nadal R.,Clay
Rosset M.,Monaco J.,Monaco J.,Clay
Safin M.,Lopez M.,Lopez M.,Clay
Squillari F.,Kubot L.,Squillari F.,Clay
Acasuso J.,Ferrer D.,Acasuso J.,Clay
Koubek S.,Vanek J.,Vanek J.,Clay
Garcia A.,Mutis O.,Garcia A.,Clay
Mantilla F.,Portas A.,Mantilla F.,Clay
Mantilla F.,Garcia A.,Mantilla F.,Clay
Squillari F.,Nadal R.,Nadal R.,Clay
Acasuso J.,Vanek J.,Acasuso J.,Clay
Lopez M.,Monaco J.,Monaco J.,Clay
Mantilla F.,Nadal R.,Nadal R.,Clay
Monaco J.,Acasuso J.,Acasuso J.,Clay
Acasuso J.,Nadal R.,Nadal R.,Clay
Carlsen K.,Hewitt L.,Hewitt L.,Clay
Muller G.,Schalken S.,Muller G.,Clay
Gimelstob J.,Falla A.,Falla A.,Clay
Corretja A.,Ginepri R.,Ginepri R.,Clay
Sluiter R.,Martin T.,Sluiter R.,Clay
Patience O.,Tursunov D.,Tursunov D.,Clay
Agassi A.,Goldstein P.,Agassi A.,Clay
Koubek S.,Gambill J.M.,Gambill J.M.,Clay
Blake J.,Garcia A.,Garcia A.,Clay
Salzenstein J.,Kratochvil M.,Kratochvil M.,Clay
Mathieu P.H.,Yoo D.,Mathieu P.H.,Clay
Saulnier C.,Dupuis A.,Saulnier C.,Clay
Wang Y.T.,Elseneer G.,Elseneer G.,Clay
Zimonjic N.,Levy H.,Levy H.,Clay
Ferreira W.,Martin A.,Martin A.,Clay
Baker B.,Pless K.,Pless K.,Clay
Falla A.,Hewitt L.,Hewitt L.,Clay
Elseneer G.,Saulnier C.,Saulnier C.,Clay
Levy H.,Ginepri R.,Ginepri R.,Clay
Sluiter R.,Martin A.,Sluiter R.,Clay
Pless K.,Agassi A.,Agassi A.,Clay
Kratochvil M.,Tursunov D.,Kratochvil M.,Clay
Mathieu P.H.,Garcia A.,Mathieu P.H.,Clay
Gambill J.M.,Muller G.,Muller G.,Clay
Agassi A.,Mathieu P.H.,Agassi A.,Clay
Ginepri R.,Sluiter R.,Ginepri R.,Clay
Saulnier C.,Hewitt L.,Hewitt L.,Clay
Kratochvil M.,Muller G.,Muller G.,Clay
Ginepri R.,Hewitt L.,Hewitt L.,Clay
Muller G.,Agassi A.,Muller G.,Clay
Hewitt L.,Muller G.,Hewitt L.,Clay
Gambill J.M.,Gasquet R.,Gambill J.M.,Hard
Sanchez D.,Ferreira W.,Ferreira W.,Hard
Verdasco F.,Martin A.,Verdasco F.,Hard
Enqvist T.,Benneteau J.,Enqvist T.,Hard
Melzer J.,Martin T.,Melzer J.,Hard
Llodra M.,Sargsian S.,Llodra M.,Hard
Beck K.,Chela J.I.,Chela J.I.,Hard
Costa A.,Andreev I.,Andreev I.,Hard
Horna L.,Popp A.,Horna L.,Hard
Koubek S.,Ferrer D.,Koubek S.,Hard
Nieminen J.,Ginepri R.,Nieminen J.,Hard
Tursunov D.,Ancic M.,Tursunov D.,Hard
Hewitt L.,Mutis O.,Hewitt L.,Hard
Hippensteel K.,Davydenko N.,Davydenko N.,Hard
Srichaphan P.,Kim K.,Srichaphan P.,Hard
Johansson J.,Elseneer G.,Johansson J.,Hard
Andreev I.,Melzer J.,Melzer J.,Hard
Gambill J.M.,Tursunov D.,Tursunov D.,Hard
Srichaphan P.,Ferreira W.,Srichaphan P.,Hard
Koubek S.,Johansson J.,Johansson J.,Hard
Verdasco F.,Davydenko N.,Davydenko N.,Hard
Llodra M.,Hewitt L.,Hewitt L.,Hard
Nieminen J.,Horna L.,Horna L.,Hard
Enqvist T.,Chela J.I.,Chela J.I.,Hard
Davydenko N.,Horna L.,Horna L.,Hard
Johansson J.,Srichaphan P.,Srichaphan P.,Hard
Hewitt L.,Chela J.I.,Hewitt L.,Hard
Melzer J.,Tursunov D.,Tursunov D.,Hard
Tursunov D.,Hewitt L.,Hewitt L.,Hard
Horna L.,Srichaphan P.,Horna L.,Hard
Hewitt L.,Horna L.,Hewitt L.,Hard
Baker B.,Moya C.,Moya C.,Hard
Rusedski G.,Saulnier C.,Saulnier C.,Hard
Stepanek R.,Novak J.,Novak J.,Hard
Baghdatis M.,Mutis O.,Baghdatis M.,Hard
Delic A.,Tipsarevic J.,Delic A.,Hard
Costa A.,Federer R.,Federer R.,Hard
Kiefer N.,Mahut N.,Kiefer N.,Hard
Calatrava A.,Bogdanovic A.,Calatrava A.,Hard
Rochus O.,Ancic M.,Rochus O.,Hard
Verdasco F.,Andreev I.,Verdasco F.,Hard
Fish M.,Ferrer D.,Fish M.,Hard
Tabara M.,Mirnyi M.,Tabara M.,Hard
Nieminen J.,Pavel A.,Pavel A.,Hard
Malisse X.,Kucera K.,Kucera K.,Hard
Elsner D.,Johansson T.,Johansson T.,Hard
Popp A.,Starace P.,Starace P.,Hard
Dent T.,El Aynaoui Y.,Dent T.,Hard
Mathieu P.H.,Sluiter R.,Mathieu P.H.,Hard
Sargsian S.,Corretja A.,Sargsian S.,Hard
Gaudio G.,Monaco J.,Gaudio G.,Hard
Golmard J.,Labadze I.,Golmard J.,Hard
Santoro F.,Martin T.,Santoro F.,Hard
Agassi A.,Ginepri R.,Agassi A.,Hard
Karlovic I.,Henman T.,Henman T.,Hard
